country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","21-08-2025 09:00:00",22.977134,72.553024,PM2.5,3,52,22
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","21-08-2025 09:00:00",22.977134,72.553024,PM10,11,86,40
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","21-08-2025 09:00:00",23.020509,72.579261,PM2.5,17,63,32
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","21-08-2025 09:00:00",23.020509,72.579261,CO,12,48,15
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","21-08-2025 09:00:00",23.016834,72.625775,PM10,31,56,41
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","21-08-2025 09:00:00",23.041137,72.456691,NH3,2,4,3
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","21-08-2025 09:00:00",23.163798,72.677768,PM10,11,45,25
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","21-08-2025 09:00:00",23.163798,72.677768,NH3,4,8,5
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM","21-08-2025 09:00:00",23.163798,72.677768,CO,19,53,30
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM","21-08-2025 09:00:00",23.243639,72.68994,NH3,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","21-08-2025 09:00:00",23.221714,72.654328,PM10,9,31,18
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB","21-08-2025 09:00:00",23.221714,72.654328,CO,9,36,21
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","21-08-2025 09:00:00",23.076793,72.627874,NO2,17,84,44
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","21-08-2025 09:00:00",23.076793,72.627874,OZONE,3,32,6
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","21-08-2025 09:00:00",23.043070,72.562968,NH3,1,1,1
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","21-08-2025 09:00:00",21.613267,73.010555,PM2.5,3,25,9
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","21-08-2025 09:00:00",13.029152,77.585901,OZONE,7,10,8
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","21-08-2025 09:00:00",12.938539,77.590100,NH3,NA,NA,NA
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","21-08-2025 09:00:00",12.938539,77.590100,SO2,NA,NA,NA
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","21-08-2025 09:00:00",12.920984,77.584908,NO2,7,19,10
